Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Llaneros,0.74,1.67,-0.93,0.74,1.66,-0.92,0.00,0.01,-0.01,0.74,1.67,-0.93,1,1,0,0.93,44.60,44.27,43.41,0.88,0.75,139,3,7,14,7.95,18.67,12.50,5,3,14,1,14,45.1,36.82,51.67,65.68,54.43,48.17,0,Llaneros 1-1 Atlético Bucaramanga,2026-01-24
Fortaleza,0.31,0.69,-0.38,0.30,0.54,-0.24,0.01,0.15,-0.14,0.31,0.69,-0.38,0,0,0,0.38,61.50,71.12,50.20,0.68,0.56,297,6,9,10,13.24,17.86,9.09,6,2,18,5,12,103.0,74.15,19.93,17.98,70.7,48.66,0,Deportivo Pereira 0-0 Fortaleza,2026-01-24
Deportivo Pereira,0.69,0.31,0.38,0.54,0.30,0.24,0.15,0.01,0.14,0.69,0.31,0.38,0,0,0,-0.38,38.50,28.88,38.78,0.56,0.68,103,9,10,9,17.86,13.24,22.55,2,6,12,4,8,35.9,25.85,90.93,82.02,74.6,51.34,1,Deportivo Pereira 0-0 Fortaleza,2026-01-24
Alianza,0.27,1.72,-1.45,0.27,0.86,-0.59,0.00,0.09,-0.09,0.27,0.96,-0.69,0,2,-2,-0.55,39.50,27.1,40.05,0.41,1.14,114,2,6,15,14.63,13.16,16.52,0,6,8,2,12,22.4,10.73,99.4,59.88,13.33,6.77,1,Deportes Tolima 2-0 Alianza,2026-01-23
Deportes Tolima,1.72,0.27,1.45,0.86,0.27,0.59,0.09,0.00,0.09,0.96,0.27,0.69,2,0,2,0.55,60.50,72.9,49.70,1.14,0.41,319,15,15,6,13.16,14.63,12.43,6,0,13,6,7,186.4,89.27,66.6,40.12,183.6,93.23,2,Deportes Tolima 2-0 Alianza,2026-01-23
Cúcuta Deportivo,0.44,1.64,-1.20,0.32,1.63,-1.31,0.12,0.01,0.11,0.44,1.64,-1.20,1,2,-1,0.20,46.20,29.03,41.18,0.46,0.72,130,5,4,16,8.7,22.22,24.29,0,2,9,2,11,17.5,10.32,67.8,55.24,24.07,15.59,2,Inter Bogotá 2-1 Cúcuta Deportivo,2026-01-23
Inter Bogotá,1.64,0.44,1.20,1.63,0.32,1.31,0.01,0.12,-0.11,1.64,0.44,1.20,2,1,1,-0.20,53.80,70.97,47.65,0.72,0.46,205,15,16,4,22.22,8.7,13.19,2,0,26,8,10,152.1,89.68,54.93,44.76,130.3,84.41,2,Inter Bogotá 2-1 Cúcuta Deportivo,2026-01-23
Once Caldas,2.52,1.02,1.50,1.67,0.26,1.41,0.10,0.00,0.10,1.76,0.26,1.50,2,1,1,-0.50,63.90,78.45,53.31,1.6,0.22,293,13,17,6,10.62,27.27,6.76,4,1,25,13,12,250.0,89.96,8.93,9.11,187.3,79.59,0,Cúcuta Deportivo 1-2 Once Caldas,2026-01-19
Cúcuta Deportivo,1.02,2.52,-1.50,0.26,1.67,-1.41,0.00,0.10,-0.10,0.26,1.76,-1.50,1,2,-1,0.50,36.10,21.55,38.87,0.22,1.6,90,4,6,17,27.27,10.62,13.65,1,4,6,2,17,27.9,10.04,89.07,90.89,48.03,20.41,0,Cúcuta Deportivo 1-2 Once Caldas,2026-01-19
Águilas Doradas,0.94,1.00,-0.06,0.94,0.92,0.02,0.00,0.08,-0.08,0.94,1.00,-0.06,1,1,0,0.06,37.40,36.09,45.48,0.86,1.25,133,10,6,19,6.98,15.2,28.14,0,6,9,1,14,44.1,17.65,77.33,73.42,43.73,25.32,5,Independiente Santa Fe 1-1 Águilas Doradas,2026-01-18
