Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Independiente,0.70,1.55,-0.85,0.52,1.44,-0.92,0.18,0.12,0.06,0.70,1.55,-0.85,1,1,0,0.85,41.50,54.58,52.21,0.79,0.99,194,13,13,11,16.46,11.11,13.76,5,6,23,10,9,67.0,48.83,99.4,87.81,117.77,77.16,8,Independiente 1-1 Estudiantes,2026-01-23
Lanús,1.96,2.79,-0.83,1.81,1.89,-0.08,0.15,0.14,0.01,1.96,2.03,-0.07,3,2,1,1.83,41.30,34.76,46.73,0.36,0.67,140,7,13,17,36.11,25.37,7.80,7,9,11,8,20,48.1,25.24,55.67,72.92,73.33,53.7,0,San Lorenzo 2-3 Lanús,2026-01-23
San Lorenzo,2.79,1.96,0.83,1.89,1.81,0.08,0.14,0.15,-0.01,2.03,1.96,0.07,2,3,-1,-1.83,58.70,65.24,51.79,0.67,0.36,256,13,17,13,25.37,36.11,6.44,9,7,34,6,14,142.5,74.76,20.67,27.08,63.23,46.3,0,San Lorenzo 2-3 Lanús,2026-01-23
Gimnasia Mendoza,0.73,1.37,-0.64,0.50,0.45,0.05,0.24,0.92,-0.68,0.73,1.37,-0.64,1,0,1,1.64,31.50,39.29,45.77,0.65,0.69,117,8,11,16,16.92,23.19,18.77,4,8,8,2,10,38.7,23.31,113.47,95.08,103.87,70.12,0,Central Córdoba SdE 0-1 Gimnasia Mendoza,2026-01-22
Central Córdoba SdE,1.37,0.73,0.64,0.45,0.50,-0.05,0.92,0.24,0.68,1.37,0.73,0.64,0,1,-1,-1.64,68.50,60.71,47.68,0.69,0.65,257,16,16,11,23.19,16.92,7.32,8,4,42,14,9,127.3,76.69,5.87,4.92,44.27,29.88,3,Central Córdoba SdE 0-1 Gimnasia Mendoza,2026-01-22
Vélez Sarsfield,0.57,0.38,0.19,0.57,0.29,0.28,0.00,0.09,-0.09,0.57,0.38,0.19,1,0,1,0.81,52.40,43.46,47.06,0.7,0.52,175,7,7,13,10.0,25.0,8.94,2,2,10,2,16,23.8,20.48,27.6,32.99,21.57,15.55,2,Instituto 0-1 Vélez Sarsfield,2026-01-22
Instituto,0.38,0.57,-0.19,0.29,0.57,-0.28,0.09,0.00,0.09,0.38,0.57,-0.19,0,1,-1,-0.81,47.60,56.54,50.17,0.52,0.7,188,10,13,7,25.0,10.0,8.21,2,2,24,4,10,92.4,79.52,56.07,67.01,117.13,84.45,5,Instituto 0-1 Vélez Sarsfield,2026-01-22
Huracán,1.45,1.16,0.29,1.45,1.01,0.44,0.00,0.15,-0.15,1.45,1.16,0.29,1,1,0,-0.29,60.40,53.93,46.66,0.47,0.72,215,8,11,14,23.4,19.44,6.76,4,10,16,2,14,67.8,53.47,10.47,12.13,27.77,22.92,1,Banfield 1-1 Huracán,2026-01-22
Banfield,1.16,1.45,-0.29,1.01,1.45,-0.44,0.15,0.00,0.15,1.16,1.45,-0.29,1,1,0,0.29,39.60,46.07,47.28,0.72,0.47,123,8,14,11,19.44,23.4,10.31,10,4,18,4,8,59.0,46.53,75.87,87.87,93.37,77.08,2,Banfield 1-1 Huracán,2026-01-22
Platense,0.91,0.69,0.22,0.69,0.67,0.02,0.22,0.02,0.20,0.91,0.69,0.22,0,0,0,-0.22,47.90,47.13,47.14,0.52,0.91,184,5,12,19,23.08,20.88,12.03,5,4,13,4,7,56.0,30.75,44.87,62.26,53.17,33.49,1,Unión 0-0 Platense,2026-01-22
Unión,0.69,0.91,-0.22,0.67,0.69,-0.02,0.02,0.22,-0.20,0.69,0.91,-0.22,0,0,0,0.22,52.10,52.87,48.85,0.91,0.52,235,10,19,12,20.88,23.08,10.53,4,5,21,3,11,126.1,69.25,27.2,37.74,105.6,66.51,1,Unión 0-0 Platense,2026-01-22
Defensa y Justicia,0.67,0.42,0.25,0.49,0.30,0.19,0.18,0.12,0.06,0.67,0.42,0.25,0,0,0,-0.25,54.40,50.87,48.21,0.52,0.3,157,9,10,9,19.23,30.0,6.10,2,4,20,4,6,79.8,55.53,19.8,31.2,54.5,46.59,1,Aldosivi 0-0 Defensa y Justicia,2026-01-22
Aldosivi,0.42,0.67,-0.25,0.30,0.49,-0.19,0.12,0.18,-0.06,0.42,0.67,-0.25,0,0,0,0.25,45.60,49.13,49.52,0.3,0.52,154,9,9,10,30.0,19.23,9.33,4,2,15,4,18,63.9,44.47,43.67,68.8,62.47,53.41,5,Aldosivi 0-0 Defensa y Justicia,2026-01-22
