Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Bengaluru,1.18,1.38,-0.2,0.83,1.12,-0.29,0.35,0.26,0.09,1.18,1.38,-0.2,1,1,0,0.2,53.1,44.05,45.29,0.78,0.43,133,10,12,13,15.38,30.23,8.32,0,6,21,5,11,72.1,52.47,29.73,39.85,63.83,52.53,0,Bengaluru 1-1 NorthEast United,2026-02-22
Punjab,0.71,0.67,0.04,0.69,0.48,0.21,0.03,0.19,-0.16,0.71,0.67,0.04,0,1,-1,-1.04,53.8,57.34,48.85,0.62,0.36,188,8,8,4,12.9,11.11,9.16,3,6,22,5,12,85.4,75.78,18.53,35.55,73.47,64.9,3,Jamshedpur 1-0 Punjab,2026-02-21
Jamshedpur,0.67,0.71,-0.04,0.48,0.69,-0.21,0.19,0.03,0.16,0.67,0.71,-0.04,1,0,1,1.04,46.2,42.66,45.89,0.36,0.62,143,6,4,8,11.11,12.9,8.32,6,3,14,4,14,27.3,24.22,33.6,64.45,39.73,35.1,0,Jamshedpur 1-0 Punjab,2026-02-21
Sporting Delhi,1.06,3.86,-2.8,0.79,2.92,-2.13,0.27,0.18,0.09,1.06,3.1,-2.04,1,4,-3,-0.2,53.6,55.89,47.79,0.85,1.13,226,5,11,19,12.94,16.81,17.6,6,5,16,5,10,52.2,44.01,46.4,49.93,41.2,24.39,3,East Bengal 4-1 Sporting Delhi,2026-02-21
East Bengal,3.86,1.06,2.8,2.92,0.79,2.13,0.18,0.27,-0.09,3.1,1.06,2.04,4,1,3,0.2,46.4,44.11,41.8,1.13,0.85,139,12,19,11,16.81,12.94,11.71,5,6,19,6,10,66.4,55.99,46.53,50.07,127.71,75.61,0,East Bengal 4-1 Sporting Delhi,2026-02-21
Goa,2.74,0.76,1.98,1.57,0.76,0.81,0.41,0.0,0.41,1.98,0.76,1.22,2,0,2,0.02,56.3,59.86,47.17,1.36,0.35,219,21,17,10,12.5,28.57,8.69,9,3,21,8,10,152.1,77.37,26.8,32.37,167.7,81.8,1,Mohammedan 0-2 Goa,2026-02-20
Mohammedan,0.76,2.74,-1.98,0.76,1.57,-0.81,0.0,0.41,-0.41,0.76,1.98,-1.22,0,2,-2,-0.02,43.7,40.14,41.65,0.35,1.36,139,6,10,17,28.57,12.5,14.5,3,9,11,3,7,44.5,22.63,56.0,67.63,37.3,18.2,3,Mohammedan 0-2 Goa,2026-02-20
Chennaiyin,0.68,0.63,0.05,0.4,0.63,-0.23,0.28,0.0,0.28,0.68,0.63,0.05,0,1,-1,-1.05,60.0,49.66,44.24,0.87,0.48,181,14,12,13,13.79,27.08,7.83,2,6,33,15,10,113.7,57.86,11.47,11.45,72.5,40.3,0,Mumbai City 1-0 Chennaiyin,2026-02-19
Mumbai City,0.63,0.68,-0.05,0.63,0.4,0.23,0.0,0.28,-0.28,0.63,0.68,-0.05,1,0,1,1.05,40.0,50.34,49.7,0.48,0.87,162,4,13,12,27.08,13.79,10.08,6,2,19,5,18,82.8,42.14,88.67,88.55,107.4,59.7,2,Mumbai City 1-0 Chennaiyin,2026-02-19
NorthEast United,0.13,2.31,-2.18,0.13,2.15,-2.02,0.0,0.16,-0.16,0.13,2.31,-2.18,0,3,-3,-0.82,48.4,40.91,40.86,0.01,0.8,125,7,2,19,200.0,23.75,13.14,2,3,15,2,11,19.9,12.46,45.13,48.15,18.4,10.36,0,East Bengal 3-0 NorthEast United,2026-02-16
East Bengal,2.31,0.13,2.18,2.15,0.13,2.02,0.16,0.0,0.16,2.31,0.13,2.18,3,0,3,0.82,51.6,59.09,45.39,0.8,0.01,169,10,19,2,23.75,200.0,10.97,3,2,26,4,10,139.8,87.54,48.6,51.85,159.18,89.64,0,East Bengal 3-0 NorthEast United,2026-02-16
Sporting Delhi,0.05,1.33,-1.28,0.05,1.3,-1.25,0.0,0.03,-0.03,0.05,1.33,-1.28,0,2,-2,-0.72,42.4,37.07,37.83,0.2,0.55,98,10,3,9,15.0,16.36,18.74,2,6,12,5,7,37.2,26.67,58.2,66.8,53.23,34.36,4,Bengaluru 2-0 Sporting Delhi,2026-02-15
Bengaluru,1.33,0.05,1.28,1.3,0.05,1.25,0.03,0.0,0.03,1.33,0.05,1.28,2,0,2,0.72,57.6,62.93,45.93,0.55,0.2,208,5,9,3,16.36,15.0,9.74,6,2,15,3,15,102.3,73.33,28.93,33.2,101.7,65.64,0,Bengaluru 2-0 Sporting Delhi,2026-02-15
Mohammedan,0.23,1.82,-1.59,0.23,1.76,-1.53,0.0,0.06,-0.06,0.23,1.82,-1.59,0,1,-1,0.59,47.2,38.25,40.83,0.17,0.6,135,2,4,14,23.53,23.33,10.66,3,8,10,3,13,35.7,18.6,31.13,34.34,20.27,8.57,1,Jamshedpur 1-0 Mohammedan,2026-02-15
Jamshedpur,1.82,0.23,1.59,1.76,0.23,1.53,0.06,0.0,0.06,1.82,0.23,1.59,1,0,1,-0.59,52.8,61.75,51.12,0.6,0.17,227,17,14,4,23.33,23.53,8.46,8,3,23,4,12,156.2,81.4,59.53,65.66,216.27,91.43,4,Jamshedpur 1-0 Mohammedan,2026-02-15
Inter Kashi,0.88,1.65,-0.77,0.7,0.5,0.2,0.18,0.4,-0.22,0.88,0.89,-0.01,1,1,0,0.77,35.5,36.74,45.96,0.15,1.04,138,6,8,13,53.33,12.5,20.21,3,4,15,5,10,54.4,26.33,102.93,86.4,70.93,52.18,1,Goa 1-1 Inter Kashi,2026-02-14
Goa,1.65,0.88,0.77,0.5,0.7,-0.2,0.4,0.18,0.22,0.89,0.88,0.01,1,1,0,-0.77,64.5,63.26,51.11,1.04,0.15,326,10,13,8,12.5,53.33,13.95,4,3,23,5,6,152.2,73.67,16.2,13.6,65.0,47.82,0,Goa 1-1 Inter Kashi,2026-02-14
Kerala Blasters,0.07,2.54,-2.47,0.05,2.32,-2.27,0.01,0.21,-0.2,0.07,2.54,-2.47,0,2,-2,0.47,35.1,27.15,40.17,0.29,0.67,102,4,3,26,10.34,38.81,18.43,2,5,9,1,13,26.1,10.97,119.8,87.66,42.53,21.56,3,Mohun Bagan 2-0 Kerala Blasters,2026-02-14
Mohun Bagan,2.54,0.07,2.47,2.32,0.05,2.27,0.21,0.01,0.2,2.54,0.07,2.47,2,0,2,-0.47,64.9,72.85,50.72,0.67,0.29,357,16,26,3,38.81,10.34,9.56,5,2,24,10,7,211.9,89.03,16.87,12.34,154.7,78.44,0,Mohun Bagan 2-0 Kerala Blasters,2026-02-14
