Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Gimcheon Sangmu,0.95,2.13,-1.18,0.42,1.97,-1.55,0.53,0.16,0.37,0.95,2.13,-1.18,1,1,0,1.18,44.80,38.1,41.76,0.54,0.96,158,11,10,15,18.52,15.62,16.30,2,8,11,5,14,40.4,22.77,74.33,52.27,70.83,32.6,3,Daejeon Hana Citizen 1-1 Gimcheon Sangmu,2026-03-14
Daejeon Hana Citizen,2.13,0.95,1.18,1.97,0.42,1.55,0.16,0.53,-0.37,2.13,0.95,1.18,1,1,0,-1.18,55.20,61.9,49.01,0.96,0.54,274,16,15,10,15.62,18.52,10.46,8,2,24,6,10,137.0,77.23,67.87,47.73,146.47,67.4,0,Daejeon Hana Citizen 1-1 Gimcheon Sangmu,2026-03-14
Jeonbuk Motors,2.06,0.78,1.28,1.96,0.68,1.28,0.10,0.09,0.01,2.06,0.78,1.28,0,0,0,-1.28,57.80,64.16,49.30,1.35,0.4,248,23,17,6,12.59,15.0,9.05,3,5,29,6,14,185.1,83.49,43.07,32.81,141.97,78.62,1,Gwangju 0-0 Jeonbuk Motors,2026-03-14
Gwangju,0.78,2.06,-1.28,0.68,1.96,-1.28,0.09,0.10,-0.01,0.78,2.06,-1.28,0,0,0,1.28,42.20,35.84,46.79,0.4,1.35,185,7,6,17,15.0,12.59,11.74,5,3,10,2,20,36.6,16.51,88.2,67.19,38.6,21.38,0,Gwangju 0-0 Jeonbuk Motors,2026-03-14
Jeju FC,1.1,2.78,-1.68,0.29,1.76,-1.47,0.04,0.27,-0.23,0.34,2.02,-1.68,1,2,-1,0.68,50.8,48.83,47.76,0.44,0.92,230,6,5,12,11.36,13.04,10.69,1,5,14,4,14,84.3,40.2,47.47,50.32,78.7,39.65,0,Anyang 2-1 Jeju FC,2026-03-08
Anyang,2.78,1.1,1.68,1.76,0.29,1.47,0.27,0.04,0.23,2.02,0.34,1.68,2,1,1,-0.68,49.2,51.17,46.1,0.92,0.44,197,13,12,5,13.04,11.36,11.57,5,1,20,5,11,125.4,59.8,46.87,49.68,119.8,60.35,0,Anyang 2-1 Jeju FC,2026-03-08
Jeonbuk Motors,0.49,1.6,-1.11,0.49,1.6,-1.11,0.0,0.0,0.0,0.49,1.6,-1.11,1,1,0,1.11,49.2,52.68,46.84,0.68,0.76,249,10,5,8,7.35,10.53,11.74,9,2,10,2,12,78.4,43.29,86.0,59.18,92.13,46.79,3,Gimcheon Sangmu 1-1 Jeonbuk Motors,2026-03-08
Gimcheon Sangmu,1.6,0.49,1.11,1.6,0.49,1.11,0.0,0.0,0.0,1.6,0.49,1.11,1,1,0,-1.11,50.8,47.32,42.84,0.76,0.68,201,8,8,5,10.53,7.35,18.44,2,9,13,2,10,102.7,56.71,59.33,40.82,104.77,53.21,1,Gimcheon Sangmu 1-1 Jeonbuk Motors,2026-03-08
Daejeon Hana Citizen,1.07,1.46,-0.39,0.96,0.62,0.34,0.11,0.07,0.04,1.07,0.7,0.37,1,1,0,0.39,68.8,72.38,50.4,0.9,0.46,372,16,13,10,14.44,21.74,13.27,5,2,28,5,7,173.2,82.12,8.93,5.54,87.53,46.18,0,Bucheon 1995 1-1 Daejeon Hana Citizen,2026-03-07
Bucheon 1995,1.46,1.07,0.39,0.62,0.96,-0.34,0.07,0.11,-0.04,0.7,1.07,-0.37,1,1,0,-0.39,31.2,27.62,42.0,0.46,0.9,112,7,10,13,21.74,14.44,21.63,2,5,12,3,8,37.7,17.88,152.4,94.46,102.0,53.82,2,Bucheon 1995 1-1 Daejeon Hana Citizen,2026-03-07
Incheon United,2.57,1.4,1.17,1.75,0.64,1.11,0.06,0.0,0.06,1.81,0.64,1.17,2,3,-1,-2.17,63.3,70.38,49.23,0.95,0.35,336,16,20,6,21.05,17.14,8.82,3,9,31,3,16,237.4,82.37,29.67,16.05,125.43,58.58,0,Gwangju 3-2 Incheon United,2026-03-07
Gwangju,1.4,2.57,-1.17,0.64,1.75,-1.11,0.0,0.06,-0.06,0.64,1.81,-1.17,3,2,1,2.17,36.7,29.62,42.05,0.35,0.95,138,6,6,20,17.14,21.05,13.26,9,3,10,1,14,50.8,17.63,155.2,83.95,88.7,41.42,0,Gwangju 3-2 Incheon United,2026-03-07
Anyang,1.35,2.23,-0.88,0.59,1.46,-0.87,0.0,0.02,-0.02,0.59,1.47,-0.88,1,1,0,0.88,40.6,46.03,47.04,0.56,1.47,174,9,8,16,14.29,10.88,11.0,5,8,17,3,16,83.7,40.79,87.47,68.19,102.63,52.12,1,Daejeon Hana Citizen 1-1 Anyang,2026-03-02
Daejeon Hana Citizen,2.23,1.35,0.88,1.46,0.59,0.87,0.02,0.0,0.02,1.47,0.59,0.88,1,1,0,-0.88,59.4,53.97,48.61,1.47,0.56,255,23,16,8,10.88,14.29,6.67,8,5,24,6,12,121.5,59.21,40.8,31.81,94.27,47.88,1,Daejeon Hana Citizen 1-1 Anyang,2026-03-02
Gwangju,0.94,0.4,0.54,0.94,0.33,0.61,0.0,0.06,-0.06,0.94,0.4,0.54,0,0,0,-0.54,65.9,65.92,49.08,1.08,0.2,315,10,9,7,8.33,35.0,7.14,5,9,24,3,14,130.5,73.85,16.47,11.15,60.87,39.98,0,Jeju FC 0-0 Gwangju,2026-03-01
Jeju FC,0.4,0.94,-0.54,0.33,0.94,-0.61,0.06,0.0,0.06,0.4,0.94,-0.54,0,0,0,0.54,34.1,34.08,45.33,0.2,1.08,132,5,7,9,35.0,8.33,14.23,9,5,13,3,11,46.2,26.15,131.27,88.85,91.37,60.02,0,Jeju FC 0-0 Gwangju,2026-03-01
Bucheon 1995,1.45,1.53,-0.08,0.63,1.44,-0.81,0.06,0.09,-0.03,0.69,1.53,-0.84,3,2,1,1.08,34.5,41.76,45.75,0.42,0.99,138,8,7,12,16.67,12.12,14.91,6,6,12,2,11,34.7,24.13,124.13,95.59,106.57,59.36,4,Jeonbuk Motors 2-3 Bucheon 1995,2026-03-01
Jeonbuk Motors,1.53,1.45,0.08,1.44,0.63,0.81,0.09,0.06,0.03,1.53,0.69,0.84,2,3,-1,-1.08,65.5,58.24,46.91,0.99,0.42,262,16,12,7,12.12,16.67,6.92,6,6,30,4,12,109.1,75.87,5.73,4.41,72.97,40.64,2,Jeonbuk Motors 2-3 Bucheon 1995,2026-03-01
Pohang Steelers,1.5,1.56,-0.06,1.07,1.56,-0.49,0.43,0.0,0.43,1.5,1.56,-0.06,1,1,0,0.06,47.7,40.54,42.64,0.18,1.05,169,8,9,13,50.0,12.38,12.29,5,6,12,4,11,50.8,31.73,94.53,56.05,50.13,31.36,1,Gimcheon Sangmu 1-1 Pohang Steelers,2026-02-28
Gimcheon Sangmu,1.56,1.5,0.06,1.56,1.07,0.49,0.0,0.43,-0.43,1.56,1.5,0.06,1,1,0,-0.06,52.3,59.46,49.09,1.05,0.18,285,17,13,9,12.38,50.0,13.22,6,5,22,2,13,109.3,68.27,74.13,43.95,109.73,68.64,0,Gimcheon Sangmu 1-1 Pohang Steelers,2026-02-28
Gangwon,1.45,1.43,0.02,1.45,1.43,0.02,0.0,0.0,0.0,1.45,1.43,0.02,1,3,-2,-2.02,65.7,74.53,51.21,0.96,0.38,323,12,14,11,14.58,28.95,6.88,10,7,20,2,17,210.4,88.74,14.47,16.08,145.32,67.02,0,Ulsan HD 3-1 Gangwon,2026-02-28
Ulsan HD,1.43,1.45,-0.02,1.43,1.45,-0.02,0.0,0.0,0.0,1.43,1.45,-0.02,3,1,2,2.02,34.3,25.47,38.17,0.38,0.96,94,9,11,14,28.95,14.58,13.32,7,10,7,2,13,26.7,11.26,75.53,83.92,71.51,32.98,0,Ulsan HD 3-1 Gangwon,2026-02-28
Seoul,1.52,1.4,0.12,1.5,0.61,0.89,0.02,0.03,-0.01,1.52,0.64,0.88,2,1,1,0.88,44.5,42.8,45.63,0.33,0.26,145,9,13,8,39.39,30.77,11.59,8,6,12,3,17,63.9,46.85,79.33,67.19,108.6,72.64,0,Incheon United 1-2 Seoul,2026-02-28
Incheon United,1.4,1.52,-0.12,0.61,1.5,-0.89,0.03,0.02,0.01,0.64,1.52,-0.88,1,2,-1,-0.88,55.5,57.2,43.72,0.26,0.33,183,6,8,13,30.77,39.39,7.32,6,8,26,6,14,72.5,53.15,38.73,32.81,40.9,27.36,0,Incheon United 1-2 Seoul,2026-02-28
